Model_ID,Units_Built,Production_Years,Price_USD
ercoercoupeandderivatives,"Total production amounts to 5,604 aircraft, comprising 1 model 310 and 4,872 model 415 built by Erco, 209 model 415 built by Sanders, 139 model F-1 built by Forney and Fornaire, 26 model F-1 built by Air Products, 244 model A-2 built by Alon, and 52 model A-2 and 61 model M-10 built by Mooney.",,
eurocopteras332superpuma,Military and civil orders for all variants of the Super Puma total more than 540.,,
eurocopteras350ecureuil,Approx 3000 AS-350s of all types (including military Fennecs) ordered by late 2002. In addition Helibras in Brazil has built over 300 Esquilos under licence.,,
eurocopteras355ecureuil2,Orders for military AS-555s and civil AS-355s total over 880. Helibras of Brazil has built over 25 AS-355s under licence.,,
eurocopteras365ndauphin2ec155,Approximately 650 AS-365/366/565s ordered. The 500th Dauphin of all models delivered in 1991. 20 EC-155s ordered.,,
eurocopterbo105ecsuperfive,"Approximately 1375 BO 105s of all models, including military versions, delivered thus far, including licence production in Canada, Indonesia, the Philippines and Spain.",,
eurocopterec120colibri,First Colibri delivery (to Japan) in January 1998. At late 1998 more than 100 Colibris had been ordered and the production rate had increased from four to six per month. Eurocopter anticipated a market over the subsequent decade for 1600.,,
eurocopterec135635,First deliveries in July 1996. Total forecast sales of 700 units. By late 1998 orders stood at approx 110.,,
eurocopterkawasakibk117,"Approx 370 BK 117s built, with 260 from Eurocopter/MBB and 110 from Kawasaki. Indonesia's IPTN licence built three BK 117s as NBK117s.",,
extra230300200,"Extra 230 production ceased in 1990. Approximately 170 Extra 300s delivered since 1988, 25 200s since 1996.",,
fairchildaerospacemetroiiiii23,Over 1000 Metros built.,,
fairchilddornier328jet,"Total 111 built, including the prototype converted from a 328 turboprop.",,
fairchilddornier728,"728 - 1 built, but not flown.",,
fairchildswearingenmerlin,"Includes 33 Merlin IIAs, 87 Merlin IIBs, 92 Merlin III and IIIAs and 10 Merlin 300s.",,
ffaas202bravo,"Approximately 34 15s and 180 18s built, with most in service with military customers.",,
fokker100,Almost 300 Fokker 100s had been ordered before Fokker's collapse in March 1996. 283 had been built when production ceased in early 1997.,,
fokker50,205 Fokker 50s built. Last machine delivered in May 1997.,,
fokker70,48 Fokker 70s built. Last delivered in April 1997.,,
fokkerf27fairchildf27fh227,"581 F-27s, 128 F-27s and 78 FH-227s built. Fokker production comprised 85 Mk 100s, 138 Mk 200s, 13 Mk 300s, 218 Mk 400 & 600s, 112 Mk 500s and six F-27MPA Maritimes. 290 Fokker built and 25 Fairchild aircraft in service in late 1998. Additionally, approx 25 used as corporate transports",,
fokkerf28fellowship,"Total F28 sales of 241, including some military customers. As at late 1998 approx 160 remained in commercial service. Further 10 used as corporate jets.",,
fujifa200aerosubaru,"299 Aero Subarus were built between 1965 and 1986. Series production lasted until 1977, when the Aero Subaru became available by firm order only through to 1986.",,
gafn22n24nomad,"Production ceased in late 1984 when 172 Nomads for civil and military customers had been built, including two prototypes. Approx 50 remain in service with civilian operators.",,
gippslandga200fatman,37 built by late 1998 with 10 built that year. Planned annual production rate by 2002 50.,,
gippslandga8airvan,Six deliveries expected in 1999. Planned annual production rate of 150 from 2001.,,
grobg115,110 G-115s and G-115As built by late 1992. Production switched to the G-115C and G-115D in late 1993. Approximately 200 have been built of all models.,,
grobgf200,"In 1998 Grob was searching for a partner to help fund production. Grob says there are over 200,000 aircraft worldwide in the four to six seat high performance class. The GF 200 is pitched to replace these aircraft.",,
grummanamericanaa1,"Total AA-1 production 1822, including 461 AA-1, 470 AA-1A, 680 AA-1B, and 211 AA-1C.",,
grummanamericanaa5,"Production totals include 831 AA-5, 900 AA-5A, 1323 AA-5B, and more than 170 AG-5B.",,
grummang1159gulfstreamiiiii,"Total Gulfstream II and III production amounted to 464 aircraft, comprising 258 G-IIs and 206 G-IIIs. 244 G-IIs and 198 G-IIIs were in service in 1998.",,
grummang159gulfstreami,200 Gulfstream Is built when production ceased in February 1969 in favour of the jet powered Gulfstream II. Approximately 110 remain in corporate use while a further 48 are in airline service. Five Gulfstream G1C conversions performed. In 1998 two were in use as corporate transports and one as an airliner.,,
grummang164agcat,"Schweizer built 2628 under contract for Grumman between 1959 and 1979, including more than 400 G-164s, 1330 G-164As and 832 G-164Bs. Also built under licence in Ethiopia.",,
grummang21goose,"Total Goose production exceeded 300 aircraft, most of which were originally delivered to military customers. Production ceased in 1945. Small numbers of radial and turbine powered Gooses remain in service worldwide.",,
grummang44widgeon,"More than 266 Widgeons built, including 176 for military use during World War 2, and postwar 50 Grumman built G-44As and 40 SCAN30 French built G-44As. McKinnon converted more than 50 G-44s to Lycoming powered Super Widgeon configuration.",,
grummang64111albatross,"Production for military customers of 418, built between 1947 and 1961. Grumman purchased 57 ex military Albatrosses for conversion to civil G-111 configuration in the early 1980s, but only 13 were converted. Other ex USN Albatrosses fly in private hands.",,
grummang73mallard,59 Mallards built between 1946 and 1951. Small numbers later converted to turboprop power.,,
gulfstreamaerospacegivgulfstreamiv,"Approximately 340 Gulfstream IVs and IV-SPs delivered by late 1998. Military C-20s built for the US Air Force, Navy, Marines and Army, other military customers include Sweden and Japan.",,
gulfstreamaerospacegvgulfstreamv,"More than 75 G-V orders held, including two ordered by the US Air Force as C-37s. Over 35 delivered by late 1998. A Gulfstream V delivered in September 1997 was the 1000th Gulfstream built.",,
gulfstreamaerospacejetpropturbocommander,"Total built 1121, including 138 680s, 72 681s, 541 Commander 690s, 136 Jetprop 840s, 42 Jetprop 900s, 84 Jetprop 980s, 107 Jetprop 1000s, and 1 Commander 1200. Production ceased in 1985.",,
handleypageherald,"Total production of 50, comprising four Series 100, 38 Series 200 and eight Series 400s for the Royal Malaysian Air Force.",,
harbiny1112,"Approximately 40 Y-11s, two prototype and one production Y-11Bs and over 105 Y-12s built by late 2000. 35 Twin Pandas on order.",,
hawkersiddeleyhs125123400600,"Total sales of HS-125s up to and including the Series 600 reached 358, including the Srs 2 Dominie for Britain's RAF. More than 230 remain in use",,
hawkersiddeleyhs748,"Production ended in 1988 by which time 382 had been built, including 89 assembled in India, comprising 24 Srs1, 192 Srs2, 101 Srs2B and Super 748, and 31 Andover C1. Approx 145 active early 2005, including 62 civil and 83 military.",,
heliocourier,"More than 500 Couriers of all models built, including 130 U10s for the US Air Force.",,
hilleruh12,"Over 2300 of all versions built, including military H23s.",,
hindustanadvancedlighthelicopter,The Indian government plans to buy 300 for that country's military. HAL foresees total civil and military domestic orders at around 650.,,
hondaha420hondajet,One prototype (early 2004).,,
iaiarava,Total Arava production of more than 90 mainly for military customers.,,
iaiwestwind,"Westwind production ceased in 1987 after more than 250 were built, of which 36 were turbojet powered. 25 1123s and 244 1124s in service at late 1998.",,
ilyushinil103,"Russian certification was granted in early 1996, with first deliveries to Russian customers shortly after. Western certification and sales are planned. Approximately 15 were flying by late 1998. Unit price approx $US156,000.",,
ilyushinil114,Original requirement for 350 from various successors to Aeroflot in Russia. Approximately 15 built thus far.,,
ilyushinil14,"Production of the Il-14 is estimated at 1276 units, including 80 built by VEB in the former East Germany and 203 by Avia in the former Czechoslovakia. Very small numbers remain in service.",,
ilyushinil18,"Estimated production of over 600 aircraft for civilian operators, all initially delivered to airlines in the former Soviet Union, Eastern Europe, China, Cuba and various client states in Africa and Asia. Approximately 50 remain in service.",,
ilyushinil62,"Over 250 of all models built, of which over 75 were exported. Low rate production of Il-62M believed to have ceased during 1994. Over 120 remain in service.",,
ilyushinil76,"Over 900 Il-76s of all models built, most for the Russian military, but over 300 are in service with Aeroflot and other civilian operators.",,
ilyushinil86,"103 built (including four military command posts). Appoximately 90 were in service in late 1998, all with Russian and CIS operators and one Chinese airline.",,
ilyushinil96300,"Approximately 15 Il-96-300s have been built, of which six are in service with Aeroflot and three with Domodedovo Civil Aviation Enterprise and others in Russian government service (including one used as a presidential transport).",,
ilyushinil96mil96t,"At late 1998 50 Il-96M/-96T firm orders held, including from Aeroflot (17 Il-96Ms and 3 Il-96Ts), Transaero (six Il-96Ms) and Partnairs of the Netherlands.",,
iptnn250,At late 1998 firm orders stood at over 30.,,
israeliai1125astragulfstreamg100,Approx 140 Astras delivered by late 2002.,,
israeliai1126galaxygulfstreamg200,Approx 70 delivered by late 2002.,,
kamank1200kmax,The first K-Max was delivered in January 1994. By January 2001 36 had been ordered.,,
kamovka26ka226,"Ka-26 - Estimated 850 built for civil and military roles, with operators in over 15 countries.",,
kamovka32,"Currently in production, approximately 170 Ka32s have been delivered, mainly to Russian civil operators but a number have been leased by western companies and others operate throughout the globe on charter from their Russian owners.",,
kestrelk250,Deliveries will commence once US FAA certification is awarded but future of the program unclear at late 1998.,,
lakela4buccaneerrenegade,"Over 1000 built, including over 300 Renegades.",,
lancairlc40columbia300350400,"300 - More than 300 on order by late 2000. First delivery inFebruary 2000.
400 - First deliveries planned for late 2001. Lancair aims to build one aircraft a day from late 2001.",,
learjet2324252829,"740 turbojet powered Lear Jets built, comprising 105 23s, 258 24s, 368 25s; five 28s and four 29s. In late 2002 34 23s, 211 24s, 314 25s, five 28s and four 29s were in service worldwide.",,
learjet313536,"738 Learjet 35s and 36s were built, including 674 model 35s and 64 model 36s. Included in the 35s total are 84 C-21A delivered to the US Air Force and the Air National Guard. One more C-21A was acquired by the US Army as an ex civil aircraft.  
246 Learjet 31s were built.
At late 2002 630 Learjet 35s, 15 36s and 235 31s were in service.",,
letl200morava,"Total L-200 production 374, including 2 XL-200 prototypes, 10 L-200 preproduction aircraft, 160 L-200A, 197 L-200D plus 5 L-200D produced by Libis.",,
letl40metasokol,"Approximately 200 MetaSokols built between 1954 and 1961. Almost all production was of the four seat model, with only small numbers of the initial three seat model built.",,
letl410l420,"Almost 1100 L 410s of all variants built, including 31 L 410As, 110 L 410Ms and 560 L 410 UVPEs, with over 400 in service and more than 40 on order. One L 420 built.",,
letl610,Czech airline CSA is a provisional customer. Small numbers of L 610s were delivered to Aeroflot.,,
lockheedjetstar,"164 turbojet powered JetStars built by mid 1973. Lockheed built 40 new build turbofan powered JetStar IIs from 1976, while Garrett converted an additional 61 to JetStar 731 configuration. Approx 29 JT12 powered JetStars, 39 JetStar IIs and 48 Garrett converted JetStars in service at late 1998.",,
lockheedl100hercules,"Total L-100 built 114 (incl 22 L-100, 27 L-100-20, and 65 L-100-30).",,
lockheedl1011tristar150100150200250,"Total TriStar production of 250, of which 163 model 1, 13 model 100, 24 model 200, and 50 model 500 (the latter described separately).",,
lockheedl1011tristar500,50 built when production ceased in 1983.,,
lockheedl188electra,"170 Electras built, including 55 L-188Cs. Approx 40 in commercial service in late 2002, two used as corporate transports.",,
luscombemodel8silvaire,"Some 5970 Model 8s were built between 1938 and 1961, including 5840 by Luscombe, 50 by Temco, and 80 by Silvaire.",,
luscombespartan,"Approximately 300 ordered by late 1998. Certification and first deliveries planned for mid 1999. Altus factory could build up to 500 Spartans a year. 185 VFR base price at late 1998 $US138,500",,
maulem4tom7,More than 2000 of all variants produced.,,
mcdonnelldouglasdc10boeingmd10,386 civil DC-10s and 60 military KC-10As built. By early 2003 180 remaining in airline service. FedEx has ordered 89 MD-10 conversions.,,
mcdonnelldouglasdc9102030,"976 DC-9s of all models built including 137 -10s, 10 -20s and 662 -30s (including military C-9s). 97 DC-9-10s, 4 DC-9-20s and 381 DC-9-30s in airline service at late 2002. 9 DC-9-10s and 3 DC-9-30s used as corporate jets at late 2002.",,
mcdonnelldouglasdc94050,"Total DC-9 production of 976, including 71 Series 40s and 96 Series 50s. Approximately 53 -40s and 46 -50s remained in service in late 2002.",,
mcdonnelldouglasmd11,"200 MD-11 were delivered when production ended in 2001, comprising 136 MD-11, 5 MD-11C and 59 MD-11F.",,
mcdonnelldouglasmd81828388,"Total MD-80 series (inc MD-87) 1191 aircraft, of which 132 MD-81, 569 MD-82, 265 MD-83, 150 MD-88 (and 75 MD-87, see separate entry).",,
mcdonnelldouglasmd87,"Of total MD-80 sales of 1191, 75 were for MD-87s.",,
mcdonnelldouglasmd90,"A total of 114 MD-90s were built by McDonnell Douglas/Boeing, with production completed in 2000.  105 were in service in 2002. 3 MD-90-30Ts were built by Shenyang in China under the aborted Trunkliner program.",,
mdhelicoptersmd500530,"Approximately 4700 Hughes 500s and MD-500s have been built, including large numbers for military customers.",,
mdhelicoptersmd520n,Total built 102 by mid 2006.,,
mdhelicoptersmd600n,Total of 70 built by mid 2006.,,
milmi26,"Approximately 300 built, mostly for military use.",,
milmi34,Production of the Mi-34 began during 1993. Sporadic low rate production since.,,
milmi817,"Over 12,000 Mi-8s and Mi-17s built, but majority for military service.",,
millicerm10airtourer,"Certification and delivery of production aircraft planned for mid to late 1999. M10-160 price at late 1998 $A195,000 (approx $US125,000).",,
mitsubishimu2,"Over 800 built. Production comprised three MU-2As, 34 MU-2Bs, four military MU-2Cs (LR-1s), 18 MU-2Ds, 16 military SAR MU-2Ss (MU-2Es), 95 MU-2Fs, 46 MU-2Gs, 108 MU-2Js, 83 MU-2Ks, 36 MU-2Ls, 27 MU-2Ms, 36 MU-2Ns, 31 MU-2Ps, 130 plus Marquise and 60 plus Solitaires.",,
mooneym20tom20g,Over 5000 early model M-20 series aircraft built from the mid 1950s to the mid 1970s.,,
mooneym20jtom20s,Over 2250 of all models delivered since the mid 1970s.,,
namcys11,"182 YS-11s built comprising two prototypes, 48 series 100s, 83 Series 200s, 31 series 300s, eight series 400s, two series 500s and eight series 600s. Production total includes 23 for Japanese military. 66 remained in service at late 1998.",,
noorduynnorseman,"Norseman production ran from the late 1930s through until 1946 with Noorduyn, and then with CCF (Canadian Car and Foundry) until 1959, by which time 903 had been built by both manufacturers. Approximately 18 remain in use.",,
northamericanrockwell100darterlarkcommander,"6 Volaire 1035, 335 Model 100s/Darter Commanders and 213 Lark Commanders built.",,
northamericanryannavion,"Approximately 2500 aircraft of all models built, including 1100 North American NA145 Navions, 1000 Ryan built Navion 205s and 240 Super 260s, and small numbers of Rangemasters. Small numbers also converted to Twin Navions.",,
pacificaerospacect4airtrainer,"78 CT-4As and 38 CT-4Bs built mainly for military orders. Many (30+) ex RAAF CT-4As are now flying in civil hands mainly in Australia, some in New Zealand and the USA. 32 CT-4Es built.",,
pacificaerospacefletcherfu24cresco,"Almost 300 FU-24s built in the USA and New Zealand (70 in US, balance in NZ) since 1955. Approx 30 Crescos built.",,
partenaviap68,"400 built through to 1994, including 13 preproduction P.68As and 150 P.68B Victors. Six assembled by TAAL in India where licence production is planned.",,
piaggiop166,"Approximately 145 P-166s of all models built, including many for government and military customers. New production aircraft built on demand.",,
piaggiop180avanti,"Orders placed for approximately 42 Avantis (including three for the Italian air force for use as regional transports), with 30 built by early 1995. Production restarting against an Italian air force order for 12.",,
pilatuspc12,Over 280 PC-12s delivered by end of April.,,
pilatuspc6porterturboporter,"Over 500 Porters of all versions have been built, including 100 under licence in the USA and against various military orders.",,
pipercub,"Production includes 348 E-2s, 1169 J-2s, 20056 J-3s (including 5677 military O-59, L-4 and NE), 1251 J-4 Cub Coupes, 1506 J-5 Cub Cruisers, 1541 PA-11 Cub Specials, 3759 PA-12 Super Cruisers and 238 PA-14 Family Cruisers.",,
piperpa18supercub,Almost 7500 Super Cubs (including 1700 military) built until 1981 when production originally ceased. Piper production for WTA between 1982 and 1988 totalled 250. Piper production between 1988 and 1994 approximately 100.,,
piperpa2022pacertripacercaribbeancolt,"Total PA-22 production of 9490 comprising 7641 Tri-Pacers and Caribbeans and 1849 Colts, while 1120 PA-20 Pacers were built.",,
piperpa23apacheaztec,"Almost 7000 PA-23s built, comprising 2047 Apaches and 4930 Aztecs, including a small number of military sales.",,
piperpa24comanche,"Total PA-24 production 4856, including 1143 180s, 2537 250s, 1028 260s and 260 Ts, and 148 400s.",,
piperpa25pawnee,Total PA-25 Pawnee production 5015.,,
piperpa28cherokeeseries,"By end 2004, over 30,200 fixed undercarriage PA-28 Cherokee series were built, including 10,089 PA-28-140s, 7455 PA-28-150/160/180s, 4256 PA-28-181s, 5504 PA-28-151/161s, 2856 PA-28-235/236s and 91 PA-28-201Ts.",,
piperpa28rcherokeearrow,"Approximately 6000 PA-28Rs of all models built, including 81 PA-28R-180Bs, 1664 PA-28R-200s and -201s, and 1291 PA-28R-201Ts and PA-28RT-201Ts.",,
piperpa3039twincomanche,"Total Twin Comanche production was 2156, comprising 2001 PA-30s and 155 PA-39s.",,
piperpa31chieftainmojavet1020t1040,"Production : 1827 Chieftain, 52 Mojave, 21 T-1020, 24 T-1040, and 2 experimental PA-31-353.",,
piperpa31navajopressurizednavajo,"Total PA-31 Navajo production of 2044, including 14 PA-31-300, 1771 PA-31-310/325, and 259 PA-31P-425 Pressurized Navajo.",,
piperpa31tcheyenne,"Total PA-31T Cheyenne production of 823, comprising 526 Cheyenne and Cheyenne IIs, 215 Cheyenne I & IAs and 82 Cheyenne IIXLs.",,
piperpa32cherokeesixlancesaratoga,"By the end of 2004, 7842 PA-32s of all versions have been built, including 4420 PA-32s and 3422 PA-32Rs.",,
piperpa34seneca,"Approximately 4750 Senecas built by Piper (incl approx 200 Vs), plus approx 20 Seneca IIs licence built in Poland by PZL-Mielec as the M-20 Mewa, and over 870 in Brazil by Embraer as the EMB-810.",,
piperpa36pawneebrave,Total PA-36 production 926.,,
piperpa38tomahawk,2497 Tomahawks were built between 1978 and 1983.,,
piperpa42cheyenneiii400,"Total manufactured 192, including 149 III/IIIAs and 43 400s.",,
piperpa44seminole,"Total Seminole production through to end 2004 amounted to 672, including 86 Turbo Seminoles.",,
piperpa46malibumeridian,"PA-46T - 212 had been built by end 2004.
DLX - by March 2005, 160 piston-engined PA-46s had been converted.",,
piperpa46malibumalibumirage,"PA-46-300T - 1
PA-46-310P - 404
PA-46-350P - 645 by mid 2004",,
piperpa60aerostar,"1010 Aerostars built, including 491 by Ted Smith and 519 by Piper.",,
pittss12special,"Factory built: 64 S-1S, 61 S-1T, 272 S-2 & S-2A, 358 S-2B, 67 (by 2004) S-2C, 17 S-2S.
Homebuilt: 900+",,
pzlmielecm18dromader,"By 2002 over 715 Dromaders built, most for export. M-18 single-seater production ceased in 1984 after 230 built.",,
pzlokeciepzl110111koliber,"Total Franklin powered Series I, II and III production approximately 40 units. Approx 75 Lycoming powered Kolibers built.",,
pzlswidnikmilmi2kania,More than 5500 mainly military Mi2s built since 1965. 16 Kanias (including prototypes) built thus far.,,
pzlswidniksw4,Two flying prototypes and one static prototype built by 1998. First deliveries planned during 1999.,,
pzlswidnikw3sokol,"Approximately 130 Sokols of all models have been built, including against Polish military orders.",,
pzlwarszawaokeciepzl104wilga,More than 965 Wilgas built since the mid 1960s. Small numbers of Wilga 2000s built.,,
raytheon390premieri,More than 300 orders held at late 2001. First deliveries planned for second half of 2001. Planned production of 50 per year.,,
raytheon90100kingair,Approx 1925 of all variants of the King Air 90 family built (including 226 military orders). Approx 350 King Air 100s built.,,
raytheonbeechcraft1900,207 civil Beech 1900Cs were built when production ended. More than 300 1900Ds had been ordered at the time of writing.,,
raytheonbeechcraftbaron,"Production of the Model 58 Baron continues, with more than 2500 of all variants built by late 1998.",,
raytheonbeechcraftbonanza,3352 Model 33s built through to 1996. 3760 normally aspirated Model 36s built with production continuing. Over 600 turbocharged models built.,,
raytheonbeechcraftkingair200,"Over 1700 King Air 200s have been delivered to civil and commercial customers, while over 400 have been delivered to military forces.",,
raytheonbeechcraftkingair300350,219 King Air 300s were built when production ended in 1991. Production of the 300LW ceased in 1994 after 35 had been built. Over 220 King Air 350s delivered.,,
raytheonbeechjet400,Total Beechjet 400 production 64. 200th civilian 400A delivered in October 1998. In addition 180 modified 400As built for the US Air Force as T-1A Jayhawk tanker/transport trainers.,,
raytheonhawker1000,Production ceased after 52 built.,,
raytheonhawker800britishaerospacehs125700,"215 HS-125-700s built and more than 360 Hawker 800s built, with 50 to be produced in 1999. Over 1000 125 series aircraft ordered including military versions.",,
raytheonhawkerhorizon,Certification and first deliveries planned for the northern spring of 2001. Over 20 orders held at late 1998.,,
republicrc3seabee,Total Seabee production of 1060 built between 1946 and 1947.,,
robindr400500,Over 1850 DR-400s of all variants built. Over 40 Dr-500s built.,,
robinhr200r2000alpha,Approx 160 200s and 130 R 2000s built.,,
robinr3000,Approximately 75 examples of the two versions of the R 3000 had been delivered.,,
robinsonr44,"By September 2000, 868 R-44s had been delivered since production began in late 1992.",,
robinsonr22,Over 2900 R22s of all versions have been built (including some against military orders).,,
rockwell500520560680685720commander,"Total 1999, including 1 L-3805, 150 520s, 345 560 series, 1 360, 789 500 series, 700 680 series, and 13 720s.",,
rockwellcommander112114,Production of the 112 and 114 series ceased in 1979.,,
rockwellsabreliner,"Over 600 civil Sabreliners built, plus 200 T39s. Over 380 remained in use in late 1998 (including 36 T-39s in civil use).",,
ruschmeyerr90,Approximately 30 R 90-230 RG builts before production ceased.,,
saab2000,63 built.,,
saab340,430 Saab 340s ordered with production winding up in 1998. 340A production ended in September 1989 with 159 built.,,
schweizer269300,"Total 269/TH58/300 production over 3400 aircraft, of which 2800 were built by Hughes before production transferred to Schweizer. Total includes military production.",,
schweizer330,Deliveries began in mid 1993. Approx 25 built.,,
scottishaviationtwinpioneer,"Total Twin Pioneer production of 91, including 32 CC1s and seven CC2s for Britain's Royal Air Force and others for the Royal Malayan Air Force. Production ceased in 1964.",,
short330,"330 production wound up in September 1992 after 136 had been built, including military C23 Sherpas and 330UTs. Approximately 35 were in airline service at late 1998.",,
short360,Production ceased in 1991 after approx 165 had been delivered. Approx 110 were in airline service in late 1998.,,
shortbelfast,Only 10 Belfasts built specifically for the UK's Royal Air Force. One remains in commercial service with Heavylift in 1998 (none are in military service).,,
shortskyvanskyliner,"150 Skyvans and Skyliners built between the mid 1960s and 1987, almost all of which were Series 3s (including almost 60 military Series 3Ms).",,
siaimarchettis205208,"Approx 620 S-205s, including 62 S-220 Sirius and Vela assembled by Waco in the USA. 
Approx 120 S-208s built, including 40 for the Italian air force as S-208M.",,
sikorskys55westlandwhirlwind,"Total Sikorsky S-55 production of 1281 aircraft, most for military service with US forces, 44 built under licence in Japan and 400 as Westland Whirlwinds. Approximately 40 S-55T conversions.",,
sikorskys76,"Total S76 production in late 1998 of approximately 480, comprising 284 S76As, 101 S76Bs, 17 S76A+, 43 S76Cs and 35 S-76C+s. Over 70 S76As converted to S76A+ standard.",,
sikorskys92helibus,"Five prototypes (one ground test vehicle and four flying ones) are used in the development program since December 1998. 
Certification and first deliveries planned for 2002.",,
sikorskys58,1821 S58s built mainly for military but also for civil use between 1954 and 1970.,,
sikorskys61ls61n,Production ceased in 1979 when 116 S61Ns and S61Ls had been delivered.,,
sikorskys62,"Approximately 175 S62s built, including 99 HH52s for the US Coast Guard, 50 Sikorsky built S62s for commercial operators and 25 under licence in Japan (including 18 for the Japanese military and three for Japanese commercial operators).",,
sinoswearingensj302,At late 2000 175 orders held. First deliveries scheduled for third quarter 2003.,,
slingsbyt67firefly,"281 civil and military T-67s of all models built by December 2002, most for military and quasi military customers.",,
socatagy80horizonst10diplomate,267 GY-80 Horizons of all models and 55 ST-10 Diplomates were built. Production ceased in 1974.,,
socatams180ms250morane,Deliveries due to begin in 2000.,,
socatarallye,More than 3500 built.,,
socatatangaragulfstreamga7,GA7s were built in 1978 and 1979.,,
socatatb9102021200tampicotobagotrinidad,"Over 1900 built including over 470 Tampicos/Tampico Clubs, over 725 Tobagos and 680 Trinidads and Trinidad TCs.",,
socatatbm700,More than 125 in service worldwide. Total of 25 ordered for the French air force and army.,,
sudse210caravelle,282 production Caravelles built between 1958 and 1972. 8 remained in commercial service in late 2002.,,
sukhoisu26su29su31,"Production includes approximately 60 Su29s, 70 Su26s and 25 Su-31s.",,
sukhoisuperjet100,The first production Superjet 100 was handed over to launch customer Armavia on 19 April 2011.,,
taylorcraftseries,"Taylorcraft production includes 100 prewar Model As, 1800 military L-2s, more than 2800 postwar BC-12Ds, and more than 120 F-19 Sportsmans.",,
technoaviasm92finist,"Production aircraft built at the Smolensk Aircraft Factory Approximately a dozen built by 1998. The Finist is priced at $US180,000 to $US300,000.",,
transaviaairtrukskyfarmer,"Total production of 120 plus, including 18 assembled in New Zealand. Production complete.",,
tupolevtu134,"Production estimated at over 700, most for Aeroflot, but approximately 170 exported to various east European airlines and other Soviet client states. Approx 365 were in service in late 1998.",,
tupolevtu154,"Approximately 900 Tu-154s of all models have been built, including approximately 325 Tu-154Ms. Approx 580 were in service in late 1998.",,
tupolevtu204tu214,Fifteen Tu-204s were in airline service in 2002.,,
tupolevtu334,Two prototypes were built but the type never went into commercial production.,,
vickersvc10,"Standard: Type 1100 - 1, Type 1101 - 12, Type 1102 - 2, Type 1103 - 3, Type 1106 - 14, Type 1109 -1, a conversion from 1100. Total 32. Super: Type 1151 - 17, Type 1154 - 5. Total 22.",,
vickersviscount,"Total Viscount production reached 436 aircraft. Approx 3 Viscounts in service in 2004, all in Africa.",,
victaaircruiser,One prototype only.,,
victaairtourer,"170 Victa built 100s and 115s, AESL production of 80.",,
visionairevantage,"At late 1998 VisionAire held orders for 150 Vantages. First two production aircraft due to be completed in early 1999, certification and first deliveries planned for 2000. Unit price approx $US1.8m.",,
weatherly201620,The three model types were built in relatively small numbers (including more than 100 Model 201s). By mid 2000 at least 155 Model 620/620TPs had been built.,,
yakovlevyak18t,"Estimated Yak-18T production of 200, with more than 150 still in service in Russia. Production initially ceased in 1989, but resumed by the Smolensk Aircraft Factory in 1993.",,
yakovlevyak40,"Total Yak-40 production is 1011, of which approximately 750 were built for Aeroflot. Approximately 490 remained in airline service in late 2000, others are used as corporate transports.",,
yakovlevyak42,"More than 180 built, with most delivered to Aeroflot and its successors. Approx 150 were in commercial service in 1998.",,
zlintrenerakrobat,"More than 1400 of all variants built, many against military and government flying school orders.",,
zlinz42z43z142z242z143,"Total production includes more than 350 142s, approx 40 Z 242 Ls and 35 Z 143s, including military orders.",,
